date,market_kospi_ma5_ratio,market_kospi_ma20_ratio,market_kospi_ma60_ratio,market_kospi_ma120_ratio,bond_k3y_ma5_ratio,bond_k3y_ma20_ratio,bond_k3y_ma60_ratio,bond_k3y_ma120_ratio
20180306,-0.001249185,-0.006095374,-0.025449165,-0.02356954,-0.000730305,0.000434992,-0.000219666,-0.003146244
20180307,-0.000724734,-0.007520574,-0.028616218,-0.027689452,-0.002544294,-0.00219349,-0.002711916,-0.005653018
20180308,0.011799393,0.006616878,-0.015699578,-0.015388318,-0.001425675,-0.001638252,-0.002074674,-0.005027594
20180309,0.017915149,0.017397435,-0.005014696,-0.005185469,-0.000472458,-0.001344406,-0.001737865,-0.004627681
20180310,0.017915149,0.017397435,-0.005014696,-0.005185469,-0.000472458,-0.001344406,-0.001737865,-0.004627681
20180311,0.017915149,0.017397435,-0.005014696,-0.005185469,-0.000472458,-0.001344406,-0.001737865,-0.004627681
20180312,0.018927213,0.025745042,0.004829452,0.004326347,-0.000342888,-0.001529593,-0.001920688,-0.004756936
20180313,0.016254412,0.028182913,0.008867644,0.008006837,0.000259579,-0.001270454,-0.001643186,-0.004416817
20180314,0.005922058,0.022139996,0.005296401,0.004178995,0.000287332,-0.001006676,-0.001357187,-0.004077772
20180315,0.00365476,0.022481053,0.007763507,0.006293748,0.000926612,-0.000104137,-0.000382499,-0.00305987
20180316,0.001510702,0.021064505,0.008240043,0.006482679,0.000361325,-0.000513744,-0.000731887,-0.003370173
20180317,0.001510702,0.021064505,0.008240043,0.006482679,0.000361325,-0.000513744,-0.000731887,-0.003370173
20180318,0.001510702,0.021064505,0.008240043,0.006482679,0.000361325,-0.000513744,-0.000731887,-0.003370173
20180319,-0.005368918,0.012207907,0.000630636,-0.00148782,0.000203783,-0.000400377,-0.000646307,-0.003220134
20180320,-0.000432711,0.015611201,0.004846991,0.002409051,0.000120396,-0.000289295,-0.000513672,-0.003019684
20180321,-0.000564679,0.01393948,0.004581025,0.001962407,0.000175932,-6.02E-05,-0.000256072,-0.002683762
20180322,0.003585706,0.017071058,0.008887387,0.00614753,0.000333336,0.000120346,-2.78E-05,-0.002404304
20180323,-0.022211793,-0.015275338,-0.023063367,-0.025817162,0.001961909,0.002198413,0.002135798,-0.000160837
20180324,-0.022211793,-0.015275338,-0.023063367,-0.025817162,0.001961909,0.002198413,0.002135798,-0.000160837
20180325,-0.022211793,-0.015275338,-0.023063367,-0.025817162,0.001961909,0.002198413,0.002135798,-0.000160837
20180326,-0.010953399,-0.006703583,-0.014826339,-0.017727154,0.001017529,0.00164063,0.001608182,-0.000588758
20180327,-0.002164082,-0.000484236,-0.00893584,-0.011899672,0.000194195,0.001117649,0.001102206,-0.001017516
20180328,-0.010208482,-0.013100843,-0.022066208,-0.025232223,0.000961219,0.002392599,0.002370178,0.00035177
20180329,0.001668395,-0.006315991,-0.014955519,-0.018554881,2.77E-05,0.001816394,0.00180944,-0.00013125
20180330,0.003166369,-0.003337528,-0.010897407,-0.014978363,0.000267933,0.002045463,0.002026914,0.000154352
20180331,0.003166369,-0.003337528,-0.010897407,-0.014978363,0.000267933,0.002045463,0.002026914,0.000154352
20180401,0.003166369,-0.003337528,-0.010897407,-0.014978363,0.000267933,0.002045463,0.002026914,0.000154352
20180402,0.001891281,-0.005426503,-0.01129977,-0.015893617,0.000360274,0.0021725,0.002244383,0.000433053
20180403,0.0019732,-0.00675733,-0.011839483,-0.016748393,0.000563307,0.002609468,0.002781906,0.001031674
20180404,-0.011215511,-0.020858472,-0.025156823,-0.03050096,0.000914035,0.00288627,0.003313993,0.001616081
20180405,0.00078667,-0.008969212,-0.012726037,-0.018572245,0.001153562,0.003292364,0.003962421,0.002338343
20180406,-0.001138784,-0.011597208,-0.015405926,-0.02162082,0.000894768,0.003194356,0.004100273,0.002555552
20180407,-0.001138784,-0.011597208,-0.015405926,-0.02162082,0.000894768,0.003194356,0.004100273,0.002555552
20180408,-0.001138784,-0.011597208,-0.015405926,-0.02162082,0.000894768,0.003194356,0.004100273,0.002555552
