종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"013570","디와이","KOSPI",,"5500","-100","-1.79","5530","5640","5470","74586","412356870","144757981500","26319633"
"219550","디와이디","KOSDAQ","관리종목(소속부없음)","1520","-80","-5.00","1545","1585","1470","1226846","1868998235","55841136800","36737590"
"310870","디와이씨","KOSDAQ","벤처기업부","1660","-60","-3.49","1720","1735","1655","43218","73373200","34340869860","20687271"
"210540","디와이파워","KOSPI",,"12400","-450","-3.50","12850","13150","12250","192214","2410338850","136917179200","11041708"
"104460","디와이피엔에프","KOSDAQ","우량기업부","41000","100","0.24","41200","41200","40500","16806","684984450","439258625000","10713625"
"079810","디이엔티","KOSDAQ","중견기업부","10150","-500","-4.69","10650","10650","10150","368636","3784683050","156385536300","15407442"
"113810","디젠스","KOSDAQ","벤처기업부","1140","15","1.33","1130","1165","1095","1126873","1276341195","37195978140","32628051"
"043360","디지아이","KOSDAQ","벤처기업부","3140","-100","-3.09","3210","3210","3140","10519","33371870","28260000000","9000000"
"197140","디지캡","KOSDAQ","벤처기업부","4265","-290","-6.37","4530","4530","4170","101743","439418930","40763372985","9557649"
"068930","디지털대성","KOSDAQ","우량기업부","6930","-150","-2.12","7070","7070","6880","45972","319124010","199675746270","28813239"
"033130","디지틀조선","KOSDAQ","중견기업부","2305","-50","-2.12","2355","2355","2280","178541","412903295","85550690435","37115267"
"105740","디케이락","KOSDAQ","우량기업부","11700","-450","-3.70","12100","12150","11600","157166","1858608600","107145710100","9157753"
"263020","디케이앤디","KOSDAQ","벤처기업부","3125","-120","-3.70","3245","3245","3125","30705","97766670","48520012500","15526404"
"290550","디케이티","KOSDAQ","우량기업부","8150","-170","-2.04","8220","8320","8080","35078","286585010","134170727900","16462666"
