날짜,시간,index,시가,고가,저가,종가,전일대비,거래량,거래대금,누적체결매도수량,누적체결매수수량,상장주식수,시가총액,외국인주문한도수량,외국인주문가능수량,외국인현보유수량,외국인현보유비율,수정주가일자,수정주가비율,기관순매수량,기관누적순매수량,등락주선,등락비율,예탁금,주식회전율,거래성립률
20221129,1319,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1318,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1317,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1316,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1315,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1314,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1313,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1312,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1311,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1310,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1309,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1308,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1307,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1306,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1305,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1304,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1303,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1302,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1301,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1300,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1259,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1258,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1257,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1256,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1255,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1254,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1253,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1252,,,,,,,,,,,,,,,,,,,,,,,,,
